Alphabetical number,Graph name,Source,Lens,Core insight
34,Fibonacci Story-Point Distribution,New,Metadata / practice,"Compares actual task estimates or outcomes grouped by 1,2,3,5,8,… to test whether the scale improves decisions."
35,Fibonacci Word Symbol Balance,New,Math / information,Shows the evolving proportions and block structure of the Fibonacci word generated by substitution.
36,Forward and Reciprocal Ratio Overlay,Retained,Math,"Places Fₙ₊₁/Fₙ and Fₙ/Fₙ₊₁ together, showing dual convergence to φ and 1/φ."
37,Forward Ratio Alternating Envelope,Retained,Math,Separates odd and even ratios to make the tightening upper and lower bounds around φ obvious.
38,Forward Ratio Line Chart,Retained,Math,The primary convergence chart: consecutive ratios oscillate toward φ.
39,GCD Identity Landscape,New,Math,"Heatmaps gcd(Fₘ,Fₙ)=F_gcd(m,n), revealing an exact arithmetic structure across all index pairs."
40,Golden Now Balance,New,Time metaphor,Represents the unit interval around today as a 1/φ² past share and a 1/φ future share.
41,Golden Time Uncertainty Cone,New,Time metaphor,Uses φ-scaled horizons to show uncertainty widening away from today; the scaling is an interpretive model.
42,Golden-Angle Rotation Map,New,Math / reality,"Plots repeated rotations by 360°/φ²≈137.5°, showing why points distribute evenly around a circle."
43,Golden-Rectangle Aspect Ratio by Stage,Retained,Geometry,Shows rectangles built from Fibonacci sides approaching the golden aspect ratio.
44,Golden-Spiral vs Fibonacci-Spiral Radial Difference,Retained,Geometry,Separates the exact logarithmic golden spiral from the familiar quarter-circle Fibonacci approximation.
45,Human-Proportion Fit vs Alternative Ratios,New,Reality test,"Compares measured human proportions with φ and alternative ratios to test, rather than presume, a golden fit."
46,Identity Map of Known-From-Known Quantities,New,Math / metadata,"A network linking terms, ratios, sums, squares, matrix entries, and identities so each quantity’s derivation is visible."
47,Late-Ratio Zoom Panel,Retained,Math,Magnifies the tiny late-stage oscillations that ordinary scales conceal.
48,Leaf-Angle Distribution Around the Golden Angle,New,Reality test,Plots measured divergence angles against 137.5° with uncertainty and competing angular models.
49,Linear-vs-Log Destination Comparison,Retained,Math,Explains why early terms disappear on a linear scale and why logarithmic scaling clarifies growth.
50,Log-Growth Residual from n log φ,New,Math,"Subtracts the Binet growth trend from log Fₙ, exposing the small residual hidden beneath near-linear log growth."
51,Lucas–Fibonacci Companion Overlay,New,Math,"Overlays Lucas and Fibonacci sequences to show their shared recurrence, phase relation, and common φ growth."
52,Market Retracement Hit Rate vs Random Baseline,New,Reality test,Tests whether price reactions near Fibonacci retracement levels exceed matched random or uniformly spaced levels.
53,Memory–Anticipation Weight Curve,New,Time metaphor,"Lets past memory, present evidence, and future anticipation carry explicit weights around 1/φ, 1, and φ."
54,Natural-Pattern Claim Evidence Matrix,New,Reality test,"Classifies proposed Fibonacci appearances as exact, approximate, selected, unsupported, or better explained by another model."
55,Normalized Time-Reference Number Line,Retained,Time metaphor,"Places yesterday=1/φ, today=1, and tomorrow=φ on one shared coordinate system."
56,Observed Spiral Counts vs Consecutive Fibonacci Pairs,New,Reality test,Plots measured clockwise and counterclockwise spiral counts against nearby consecutive Fibonacci pairs.
57,Packing Efficiency Around the Golden Angle,New,Reality / simulation,Simulates packing efficiency over divergence angle and marks the golden angle against neighboring alternatives.
58,φ-Scaled Planning Horizon Ladder,New,Time metaphor,"Builds nested horizons of 1, φ, φ², φ³,… around today for comparative planning rather than prediction."
59,Pisano Period Length by Modulus,New,Math,"Plots the repetition length of Fibonacci residues for each modulus, exposing modular cycles."
60,Population Recurrence Model vs Observations,New,Reality test,Compares a Fibonacci-style two-generation recurrence with observed data and logistic or age-structured alternatives.
61,Ratio Recurrence Cobweb Diagram,New,Math,Iterates rₙ₊₁=1+1/rₙ and shows convergence to the positive fixed point φ.
62,Ratio Side-of-Limit by Step Parity,Retained,Math,Shows the parity law: successive ratios alternate above and below φ.
63,Reciprocal Time Mirror,New,Time metaphor,Uses x↦1/x to exchange yesterday=1/φ and tomorrow=φ while fixing today=1.
64,Recurrence Dependency Graph,Retained,Math / metadata,Makes 'known from known' explicit by drawing every term as dependent on the prior two.
65,Recursive Metadata Dependency Graph,New,Metadata,"Models records whose derived fields depend on the previous two records, making lineage and recalculation paths explicit."
66,Recursive Time Window Expansion,New,Time metaphor,"Builds review or forecast windows of 1,1,2,3,5,… units outward from today."
67,Resource Growth: Fibonacci vs Exponential vs Logistic,New,Reality test,Compares recurrence growth with unconstrained exponential and capacity-limited logistic growth.
68,Seed-Pair Sensitivity,Retained,Math,Compares sequences begun from different seeds and shows when their long-run ratio still approaches φ.
69,Signed Error Alternation Plot,Retained,Math,"Preserves direction as well as magnitude, exposing the exact alternating decay around φ."
70,Source-Pair Contribution Share,Retained,Math / time metaphor,Shows the two prior terms contributing approximately 1/φ and 1/φ² of the next term.
71,Sparse-to-Dense Annotation Schedule,New,Metadata,Places labels or reviews at Fibonacci indices to concentrate detail early while controlling later clutter.
72,Spiral Radius Growth by Quarter Turn,Retained,Geometry,Connects each quarter-turn radius directly to the Fibonacci sequence.
73,Temporal Self-Similarity Across Scales,New,Time metaphor,"Repeats the 1/φ–1–φ frame at seconds, days, years, or project phases to show a scale-invariant metaphor."
74,Time-Reference Interval Comparison,Retained,Time metaphor,"Shows yesterday→today as 1/φ² and today→tomorrow as 1/φ, whose ratio is φ."
75,Zeckendorf Decomposition Map,New,Math / information,Shows every positive integer as a unique sum of nonconsecutive Fibonacci numbers.
